,DATASET,TYPE,MODEL_TYPE,ZETA,FLIP,PROP,ACCURACY
156,THYROID,FLOW3,SGDClassifier,5,0,2,0.6740331491712708
157,THYROID,FLOW3,SGDClassifier,5,0,2,0.9469613259668508
158,THYROID,FLOW3,SGDClassifier,5,0,2,0.9480662983425414
159,THYROID,FLOW3,SGDClassifier,5,0,2,0.9281767955801105
160,THYROID,FLOW3,SGDClassifier,5,3,8,0.1281767955801105
161,THYROID,FLOW3,SGDClassifier,5,3,8,0.9613259668508287
162,THYROID,FLOW3,SGDClassifier,5,3,8,0.42099447513812155
163,THYROID,FLOW3,SGDClassifier,5,3,8,0.09281767955801105
164,THYROID,FLOW3,SGDClassifier,5,3,8,0.09171270718232044
165,THYROID,FLOW3,SGDClassifier,5,3,8,0.09281767955801105
166,THYROID,FLOW3,SGDClassifier,5,3,8,0.5060773480662983
167,THYROID,FLOW3,SGDClassifier,5,3,8,0.09281767955801105
168,THYROID,FLOW3,SGDClassifier,5,3,8,0.09281767955801105
169,THYROID,FLOW3,SGDClassifier,5,3,8,0.09171270718232044
170,THYROID,FLOW3,SGDClassifier,5,0,8,0.9480662983425414
171,THYROID,FLOW3,SGDClassifier,5,0,8,0.9458563535911603
172,THYROID,FLOW3,SGDClassifier,5,0,8,0.9458563535911603
173,THYROID,FLOW3,SGDClassifier,5,0,8,0.943646408839779
174,THYROID,FLOW3,SGDClassifier,5,0,8,0.8895027624309392
175,THYROID,FLOW3,SGDClassifier,5,0,8,0.9403314917127071
176,THYROID,FLOW3,SGDClassifier,5,0,8,0.9226519337016574
177,THYROID,FLOW3,SGDClassifier,5,0,8,0.9458563535911603
178,THYROID,FLOW3,SGDClassifier,5,0,8,0.8607734806629834
179,THYROID,FLOW3,SGDClassifier,5,0,8,0.09281767955801105
180,THYROID,FLOW3,SGDClassifier,5,0,4,0.9447513812154696
181,THYROID,FLOW3,SGDClassifier,5,0,4,0.943646408839779
182,THYROID,FLOW3,SGDClassifier,5,0,4,0.938121546961326
183,THYROID,FLOW3,SGDClassifier,5,0,4,0.2674033149171271
184,THYROID,FLOW3,SGDClassifier,5,0,4,0.938121546961326
185,THYROID,FLOW3,SGDClassifier,5,0,4,0.9237569060773481
186,THYROID,FLOW3,SGDClassifier,5,0,4,0.9458563535911603
187,THYROID,FLOW3,SGDClassifier,5,0,4,0.7204419889502762
188,THYROID,FLOW3,SGDClassifier,5,0,4,0.9458563535911603
189,THYROID,FLOW3,SGDClassifier,5,0,4,0.949171270718232
190,THYROID,FLOW3,SGDClassifier,5,3,4,0.09281767955801105
191,THYROID,FLOW3,SGDClassifier,5,3,4,0.09281767955801105
192,THYROID,FLOW3,SGDClassifier,5,3,4,0.09281767955801105
193,THYROID,FLOW3,SGDClassifier,5,3,4,0.09281767955801105
194,THYROID,FLOW3,SGDClassifier,5,3,4,0.09281767955801105
195,THYROID,FLOW3,SGDClassifier,5,3,4,0.09281767955801105
196,THYROID,FLOW3,SGDClassifier,5,3,4,0.09281767955801105
197,THYROID,FLOW3,SGDClassifier,5,3,4,0.7480662983425415
198,THYROID,FLOW3,SGDClassifier,5,3,4,0.09281767955801105
199,THYROID,FLOW3,SGDClassifier,5,3,4,0.09281767955801105
200,THYROID,FLOW3,SGDClassifier,1,0,6,0.9160220994475138
