DATASET,TYPE,MODEL_TYPE,ZETA,FLIP,PROP,ACCURACY,STD
THYROID,FLOW3,SGDClassifier,1,1,6,0.6376795580110497,0.37114516351693055
THYROID,FLOW3,SGDClassifier,1,1,8,0.6471823204419889,0.37025865815791337
THYROID,FLOW3,SGDClassifier,1,2,0,0.5883977900552486,0.4031991054491097
THYROID,FLOW3,SGDClassifier,1,2,2,0.6887292817679558,0.38276977821196984
THYROID,FLOW3,SGDClassifier,1,2,4,0.5374585635359115,0.3662157704838715
THYROID,FLOW3,SGDClassifier,1,2,6,0.41049723756906076,0.35912423846670977
THYROID,FLOW3,SGDClassifier,1,2,8,0.6324861878453039,0.3578307073685587
THYROID,FLOW3,SGDClassifier,1,3,0,0.66353591160221,0.30147605273177525
THYROID,FLOW3,SGDClassifier,1,3,2,0.3250828729281768,0.3771972821326535
THYROID,FLOW3,SGDClassifier,1,3,4,0.09370165745856354,0.002795383566999673
THYROID,FLOW3,SGDClassifier,1,3,6,0.09580110497237569,0.009434419538623893
THYROID,FLOW3,SGDClassifier,1,3,8,0.1777900552486188,0.26870624537784354
THYROID,FLOW3,SGDClassifier,2,0,0,0.7201104972375691,0.3582591846370157
THYROID,FLOW3,SGDClassifier,2,0,2,0.41513812154696134,0.41011201848004014
THYROID,FLOW3,SGDClassifier,2,0,4,0.7613259668508288,0.3546856143582338
THYROID,FLOW3,SGDClassifier,2,0,6,0.6191160220994474,0.3998751878369092
THYROID,FLOW3,SGDClassifier,2,0,8,0.6773480662983425,0.33023251736963666
THYROID,FLOW3,SGDClassifier,2,1,0,0.5061878453038674,0.36905910094716277
THYROID,FLOW3,SGDClassifier,2,1,2,0.4567955801104972,0.37571776163018544
THYROID,FLOW3,SGDClassifier,2,1,4,0.5539226519337016,0.3957104257026911
THYROID,FLOW3,SGDClassifier,2,1,6,0.5508287292817681,0.40906776116572957
THYROID,FLOW3,SGDClassifier,2,1,8,0.6775690607734807,0.34562535801362354
THYROID,FLOW3,SGDClassifier,2,2,0,0.598342541436464,0.3628436651928946
THYROID,FLOW3,SGDClassifier,2,2,2,0.30287292817679556,0.3450677940718628
THYROID,FLOW3,SGDClassifier,2,2,4,0.751049723756906,0.3510115579544087
THYROID,FLOW3,SGDClassifier,2,2,6,0.3571270718232044,0.3575127074462366
THYROID,FLOW3,SGDClassifier,2,2,8,0.8480662983425414,0.24791921219884547
THYROID,FLOW3,SGDClassifier,2,3,0,0.7731491712707182,0.308379052156354
THYROID,FLOW3,SGDClassifier,2,3,2,0.10419889502762432,0.032295326376678354
THYROID,FLOW3,SGDClassifier,2,3,4,0.09281767955801104,1.4628472785736255e-17
THYROID,FLOW3,SGDClassifier,2,3,6,0.09281767955801104,1.4628472785736255e-17
THYROID,FLOW3,SGDClassifier,2,3,8,0.09281767955801104,1.4628472785736255e-17
THYROID,FLOW3,SGDClassifier,3,0,0,0.7743646408839779,0.27573030367294765
THYROID,FLOW3,SGDClassifier,3,0,2,0.7561325966850829,0.3373250005133945
THYROID,FLOW3,SGDClassifier,3,0,4,0.5403314917127071,0.38881213016299737
THYROID,FLOW3,SGDClassifier,3,0,6,0.7113812154696133,0.33974972798546177
THYROID,FLOW3,SGDClassifier,3,0,8,0.6579005524861878,0.3584296032286976
THYROID,FLOW3,SGDClassifier,3,1,0,0.7188950276243095,0.314716617372889
THYROID,FLOW3,SGDClassifier,3,1,2,0.5093922651933701,0.36388969632678064
THYROID,FLOW3,SGDClassifier,3,1,4,0.5792265193370165,0.3105803724430773
THYROID,FLOW3,SGDClassifier,3,1,6,0.6167955801104972,0.36501972618846235
THYROID,FLOW3,SGDClassifier,3,1,8,0.6504972375690609,0.36892990699266714
THYROID,FLOW3,SGDClassifier,3,2,0,0.6641988950276243,0.3636321594570213
THYROID,FLOW3,SGDClassifier,3,2,2,0.6428729281767956,0.30725421031227573
THYROID,FLOW3,SGDClassifier,3,2,4,0.7098342541436463,0.2726435588949782
THYROID,FLOW3,SGDClassifier,3,2,6,0.5144751381215469,0.4447306615475712
THYROID,FLOW3,SGDClassifier,3,2,8,0.6504972375690607,0.3960859926369698
THYROID,FLOW3,SGDClassifier,3,3,0,0.7709392265193371,0.2971291743725977
THYROID,FLOW3,SGDClassifier,3,3,2,0.2476243093922652,0.3000837939066081
THYROID,FLOW3,SGDClassifier,3,3,4,0.17878453038674036,0.2706883134518117
THYROID,FLOW3,SGDClassifier,3,3,6,0.09281767955801104,1.4628472785736255e-17
THYROID,FLOW3,SGDClassifier,3,3,8,0.09281767955801104,1.4628472785736255e-17
THYROID,FLOW3,SGDClassifier,4,0,0,0.7469613259668508,0.2788950665386358
THYROID,FLOW3,SGDClassifier,4,0,2,0.7292817679558012,0.3477428413165455
THYROID,FLOW3,SGDClassifier,4,0,4,0.9097237569060773,0.10828735545781878
